30;;171,575;Li II;R37
300;P;178,014;Li II;R37
1000;P;199,280;Li II;R37
15;c;231,454;He II;GM65
20;c;232,584;He II;GM65
30;c;234,347;He II;GM65
50;c;237,331;He II;GM65
100;c;243,027;He II;GM65
300;P;256,317;He II;MK00b
150;P;256,318;He II;MK00b
90;P;300,150;Na II;W71
90;;300,200;Na II;W71
50;;301,320;Na II;W71
60;;301,440;Na II;W71
30;;302,450;Na II;W71
1000;P;303,780;He II;MK00b
500;P;303,786;He II;MK00b
10;;320,293;He I;TW71
90;P;352,955;Ne II;P71
60;P;354,962;Ne II;P71
90;;361,432;Ne II;P71
60;;362,454;Ne II;P71
150;P;372,080;Na II;W71
200;;376,380;Na II;W71
150;;405,854;Ne II;P71
120;;407,138;Ne II;P71
400;P;429,918;O  II;MKM93
700;P;430,041;O  II;MKM93
1000;P;430,177;O  II;MKM93
800;;441,810;K  II;E31
200;P;445,039;Ne II;P71
300;P;446,255;Ne II;P71
250;P;446,590;Ne II;P71
200;;447,815;Ne II;P71
150;;454,654;Ne II;P71
200;;455,273;Ne II;P71
10;;456,273;Ne II;P71
120;;456,349;Ne II;P71
90;;456,896;Ne II;P71
1000;P;460,728;Ne II;P71
500;P;462,391;Ne II;P71
150;;465,080;K  II;E31
;;469,500;K  II;E31
300;;476,030;K  II;E31
900;P;484,602;F  II;P69
10;;487,227;Ar II;M71
15;;490,650;Ar II;M71
10;;490,701;Ar II;M71
1000;;495,140;K  II;E31
2;;505,500;He I;M02
3;;505,684;He I;M02
4;;505,913;He I;M02
5;;506,200;He I;M02
7;;506,571;He I;M02
10;;507,058;He I;M02
15;;507,718;He I;M02
20;;508,643;He I;M02
25;;509,998;He I;M02
35;;512,099;He I;M02
2;;513,266;Rb II;R75
50;;515,617;He I;M02
10;;519,327;Ar II;M71
100;P;522,213;He I;M02
3;;530,173;Rb II;R75
400;P;537,030;He I;M02
800;P;537,832;O  II;MKM93
1000;P;538,264;O  II;MKM93
600;P;538,318;O  II;MKM93
800;P;539,086;O  II;MKM93
700;P;539,549;O  II;MKM93
500;P;539,854;O  II;MKM93
10;;542,912;Ar II;M71
70;;543,203;Ar II;M71
25;;547,461;Ar II;M71
25;;556,817;Ar II;M71
25;;573,362;Ar II;M71
10;;576,736;Ar II;M71
25;;580,263;Ar II;M71
10;;583,437;Ar II;M71
1000;P;584,334;He I;M02
30;;587,179;Ne I;SS04
30;;587,213;Ne I;SS04
30;P;589,419;Rb II;R75
30;;589,911;Ne I;SS04
50;;591,412;He I;M02
70;;591,831;Ne I;SS04
100;;595,920;Ne I;SS04
25;;597,700;Ar II;M71
70;;598,706;Ne I;SS04
30;;598,890;Ne I;SS04
70;;600,037;Ne I;SS04
1000;P;600,770;K  II;E31
130;;602,726;Ne I;SS04
10;;602,858;Ar II;M71
900;P;605,669;F  II;P69
800;P;606,288;F  II;P69
1000;P;606,804;F  II;P69
700;P;606,923;F  II;P69
800;P;607,472;F  II;P69
800;P;607,930;K  II;E31
900;P;608,062;F  II;P69
10;;612,372;Ar II;M71
1000;P;612,620;K  II;E31
170;P;615,628;Ne I;SS04
170;P;618,672;Ne I;SS04
130;P;619,102;Ne I;SS04
200;P;626,823;Ne I;SS04
200;P;629,739;Ne I;SS04
20;;639,360;Cs II;RE75
15;;643,878;Rb II;R75
200;P;644,635;N  II;E83
600;P;644,837;N  II;E83
1000;P;645,179;N  II;E83
150;P;661,869;Ar II;M71
10;;664,562;Ar II;M71
70;;666,011;Ar II;M71
300;P;670,946;Ar II;M71
1000;P;671,851;Ar II;M71
25;;676,243;Ar II;M71
10;;677,952;Ar II;M71
10;;679,218;Ar II;M71
70;;679,401;Ar II;M71
600;P;687,053;C  II;KE74
1000;P;687,346;C  II;KE74
80;;692,700;N  I;M75a
180;;693,947;B  II;O70
500;r;696,300;Tl II;ES36
30;P;697,049;Rb II;R75
70;P;711,187;Rb II;R75
70;;718,090;Ar II;M71
150;;718,140;Cs II;RE75
800;P;718,504;O  II;MKM93
500;P;718,566;O  II;MKM93
1000;P;723,361;Ar II;M71
150;;725,549;Ar II;M71
20;;729,400;Kr II;MSP69
25;;730,930;Ar II;M71
1000;P;735,896;Ne I;SS04
70;;740,269;Ar II;M71
120;;740,410;Xe II;B36
110;P;741,456;Rb II;R75
400;P;743,720;Ne I;SS04
70;;744,925;Ar II;M71
25;;745,322;Ar II;M71
70;;761,180;Kr II;MSP69
30;;763,980;Kr II;MSP69
20;;766,200;Kr II;MSP69
70;;771,030;Kr II;MSP69
20;;773,690;Kr II;MSP69
200;P;775,967;N  II;E83
70;;782,100;Kr II;MSP69
30;;783,720;Kr II;MSP69
600;;787,580;Cl II;RK74
600;;788,740;Cl II;RK74
600;;793,342;Cl II;RK74
250;;796,664;O  II;MKM93
250;;796,682;O  II;MKM93
40;;802,280;Te II;HM64
20;;802,859;Ar I;M73
120;;803,070;Xe II;B36
100;;806,471;Ar I;M73
60;;806,869;Ar I;M73
30;;807,218;Ar I;M73
40;;807,653;Ar I;M73
150;P;808,760;Cs II;RE75
50;;809,927;Ar I;M73
150;P;813,840;Cs II;RE75
120;;816,232;Ar I;M73
70;;816,464;Ar I;M73
300;r;817,180;Tl II;ES36
20;;818,150;Kr II;MSP69
80;;820,124;Ar I;M73
120;;825,346;Ar I;M73
120;;826,365;Ar I;M73
140;;829,529;Ga II;IL85
